epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9452.51,1.89435,2.50348,1.8784,0.29646,0.26962,0.23352,0.10192,1.88197,2.40939,1.96494,0.000660045,0.000660045,0.000660045
43,9677.8,1.87525,2.45615,1.86544,0.49623,0.27573,0.23138,0.10132,1.89663,2.40714,1.99354,0.000649046,0.000649046,0.000649046
44,9902.77,1.89067,2.46738,1.87516,0.50964,0.27263,0.24373,0.10824,1.87834,2.39765,1.9562,0.000638047,0.000638047,0.000638047
45,10128.2,1.87601,2.47281,1.86517,0.29396,0.27501,0.23403,0.10446,1.88177,2.37992,1.97281,0.000627048,0.000627048,0.000627048
46,10353.7,1.8713,2.47013,1.86087,0.30152,0.26907,0.23622,0.10396,1.86109,2.39394,1.96884,0.000616049,0.000616049,0.000616049
47,10579.1,1.87634,2.40559,1.85131,0.27746,0.28358,0.24071,0.1067,1.8593,2.416,1.94203,0.000605051,0.000605051,0.000605051
48,10804.2,1.8604,2.39833,1.84831,0.49456,0.29529,0.24347,0.10768,1.88242,2.35978,1.97768,0.000594052,0.000594052,0.000594052
49,11029.6,1.86111,2.39805,1.85785,0.28961,0.28009,0.24563,0.10956,1.86455,2.34983,1.95536,0.000583053,0.000583053,0.000583053
50,11255.2,1.86018,2.40949,1.84766,0.51507,0.27728,0.2526,0.11692,1.86006,2.34684,1.947,0.000572054,0.000572054,0.000572054
51,11481.2,1.83826,2.38536,1.82169,0.30292,0.2923,0.24893,0.10853,1.87775,2.35269,1.96282,0.000561055,0.000561055,0.000561055
52,11706.4,1.84537,2.34073,1.83617,0.30575,0.30062,0.26436,0.11777,1.88795,2.29262,1.97769,0.000550056,0.000550056,0.000550056
53,11932.3,1.83995,2.36052,1.83503,0.29659,0.28378,0.24883,0.11067,1.87968,2.34562,1.95634,0.000539057,0.000539057,0.000539057
54,12157.2,1.8324,2.34967,1.81267,0.51118,0.28738,0.25451,0.11512,1.89008,2.28502,1.95326,0.000528058,0.000528058,0.000528058
55,12382.3,1.82127,2.30204,1.8019,0.53814,0.2809,0.26341,0.11903,1.88015,2.28921,1.94739,0.000517059,0.000517059,0.000517059
56,12608,1.84083,2.33547,1.81564,0.31052,0.29648,0.26533,0.12111,1.86085,2.28853,1.94033,0.00050606,0.00050606,0.00050606
57,12833.6,1.82196,2.32628,1.82782,0.31105,0.3002,0.26666,0.11867,1.86789,2.28291,1.95268,0.000495062,0.000495062,0.000495062
58,13059.1,1.81171,2.29045,1.80325,0.31314,0.29202,0.26496,0.12215,1.87565,2.25629,1.94551,0.000484063,0.000484063,0.000484063
59,13284.7,1.81338,2.30941,1.80771,0.30209,0.30022,0.26873,0.12523,1.86918,2.26401,1.94921,0.000473064,0.000473064,0.000473064
60,13510.1,1.80644,2.26954,1.79365,0.31088,0.29843,0.26368,0.11919,1.87157,2.26809,1.95468,0.000462065,0.000462065,0.000462065
