epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,550.612,2.02634,2.90585,1.78986,0.32642,0.2782,0.21632,0.09007,2.16134,2.93001,1.94781,0.000370113,0.000370113,0.000370113
2,1092.3,2.00206,2.54859,1.77256,0.33853,0.30061,0.23258,0.09824,2.13646,2.74783,1.82778,0.000703794,0.000703794,0.000703794
3,1632.1,1.96177,2.45658,1.73846,0.36029,0.32974,0.27637,0.11999,2.07388,2.73383,1.82002,0.00100081,0.00100081,0.00100081
4,2169.37,1.90175,2.31872,1.69463,0.44278,0.36909,0.34765,0.15701,1.95075,2.40861,1.7243,0.000946016,0.000946016,0.000946016
5,2713.58,1.85254,2.22189,1.66045,0.45125,0.39202,0.37483,0.17772,1.88654,2.28901,1.66001,0.000891022,0.000891022,0.000891022
6,3267.56,1.80768,2.1418,1.6278,0.48754,0.42386,0.41507,0.20196,1.85089,2.20765,1.652,0.000836027,0.000836027,0.000836027
7,3804.37,1.78927,2.06497,1.60635,0.5004,0.43742,0.43508,0.2141,1.84163,2.17087,1.63053,0.000781033,0.000781033,0.000781033
8,4344.16,1.76152,2.02075,1.5939,0.501,0.45395,0.44712,0.22299,1.81378,2.14111,1.60063,0.000726038,0.000726038,0.000726038
9,4881.85,1.73476,1.96694,1.56554,0.54265,0.46665,0.48208,0.24134,1.79264,2.05967,1.58543,0.000671044,0.000671044,0.000671044
10,5418.15,1.72051,1.9241,1.55102,0.53957,0.4732,0.48355,0.24266,1.77179,2.0076,1.56657,0.000616049,0.000616049,0.000616049
11,5954.37,1.71826,1.85233,1.5941,0.55501,0.48564,0.4996,0.2577,1.75046,1.97072,1.56106,0.000561055,0.000561055,0.000561055
12,6488.23,1.6948,1.79785,1.57551,0.56778,0.50292,0.5188,0.26721,1.75245,1.94945,1.55521,0.00050606,0.00050606,0.00050606
13,7020.46,1.66777,1.74718,1.55729,0.58012,0.51078,0.53315,0.27628,1.72754,1.88298,1.53312,0.000451066,0.000451066,0.000451066
14,7552.84,1.64433,1.70003,1.53832,0.59033,0.51108,0.54253,0.28585,1.70605,1.84071,1.52047,0.000396071,0.000396071,0.000396071
15,8086.41,1.63043,1.65227,1.52028,0.60073,0.53193,0.55639,0.29557,1.70036,1.81958,1.51334,0.000341077,0.000341077,0.000341077
16,8628.14,1.60061,1.60195,1.50599,0.5945,0.54007,0.56682,0.30151,1.69153,1.81806,1.50614,0.000286083,0.000286083,0.000286083
17,9160.41,1.58915,1.56144,1.49356,0.60814,0.5439,0.57316,0.30612,1.68729,1.7819,1.50485,0.000231088,0.000231088,0.000231088
18,9693.13,1.56802,1.52397,1.48347,0.60948,0.54597,0.58094,0.3112,1.69511,1.77291,1.5053,0.000176094,0.000176094,0.000176094
19,10225.3,1.55071,1.48355,1.46807,0.62524,0.54456,0.58558,0.31468,1.69204,1.76491,1.50835,0.000121099,0.000121099,0.000121099
20,10755.5,1.53293,1.45702,1.45838,0.62539,0.55262,0.5916,0.31704,1.68465,1.73095,1.50018,6.61045e-05,6.61045e-05,6.61045e-05
